A股代码,A股简称,A股上市日期
601369,陕鼓动力,4/28/2010
601375,中原证券,1/3/2017
601377,兴业证券,10/13/2010
601388,怡球资源,4/23/2012
601390,中国中铁,12/3/2007
601398,工商银行,10/27/2006
601500,通用股份,9/19/2016
601515,东风股份,2/16/2012
601518,吉林高速,3/19/2010
601519,大智慧,1/28/2011
601555,东吴证券,12/12/2011
601558,华锐风电,1/13/2011
601566,九牧王,5/30/2011
601567,三星医疗,6/15/2011
601579,会稽山,8/25/2014
601588,北辰实业,10/16/2006
601595,上海电影,8/17/2016
601599,鹿港文化,5/27/2011
601600,中国铝业,4/30/2007
601601,中国太保,12/25/2007
601607,上海医药,3/24/1994
601608,中信重工,7/6/2012
601611,中国核建,6/6/2016
601616,广电电气,2/1/2011
601618,中国中冶,9/21/2009
601628,中国人寿,1/9/2007
601633,长城汽车,9/28/2011
601636,旗滨集团,8/12/2011
601666,平煤股份,11/23/2006
601668,中国建筑,7/29/2009
601669,中国电建,10/18/2011
601677,明泰铝业,9/19/2011
601678,滨化股份,2/23/2010
601688,华泰证券,2/26/2010
601689,拓普集团,3/19/2015
601699,潞安环能,9/22/2006
601700,风范股份,1/18/2011
601717,郑煤机,8/3/2010
601718,际华集团,8/16/2010
601727,上海电气,12/5/2008
601766,中国中车,8/18/2008
601777,力帆股份,11/25/2010
601788,光大证券,8/18/2009
601789,宁波建工,8/16/2011
601798,蓝科高新,6/22/2011
601799,星宇股份,2/1/2011
601800,中国交建,3/9/2012
601801,皖新传媒,1/18/2010
601808,中海油服,9/28/2007
601811,新华文轩,8/8/2016
601818,光大银行,8/18/2010
601857,中国石油,11/5/2007
601866,中远海发,12/12/2007
601872,招商轮船,12/1/2006
601877,正泰电器,1/21/2010
601880,大连港,12/6/2010
601882,海天精工,11/7/2016
601886,江河集团,8/18/2011
601888,中国国旅,10/15/2009
601890,亚星锚链,12/28/2010
601898,中煤能源,2/1/2008
601899,紫金矿业,4/25/2008
601900,南方传媒,2/15/2016
601901,方正证券,8/10/2011
601908,京运通,9/8/2011
601918,*ST新集,12/19/2007
601919,中远海控,6/26/2007
601928,凤凰传媒,11/30/2011
601929,吉视传媒,2/23/2012
601933,永辉超市,12/15/2010
601939,建设银行,9/25/2007
601958,金钼股份,4/17/2008
601965,中国汽研,6/11/2012
601966,玲珑轮胎,7/6/2016
601968,宝钢包装,6/11/2015
601969,海南矿业,12/9/2014
601985,中国核电,6/10/2015
601988,中国银行,7/5/2006
601989,中国重工,12/16/2009
601991,大唐发电,12/20/2006
601992,金隅股份,3/1/2011
601996,丰林集团,9/29/2011
601997,贵阳银行,8/16/2016
601998,中信银行,4/27/2007
601999,出版传媒,12/21/2007
603000,人民网,4/27/2012
603001,奥康国际,4/26/2012
603002,宏昌电子,5/18/2012
603003,龙宇燃油,8/17/2012
603005,晶方科技,2/10/2014
603006,联明股份,6/30/2014
603007,花王股份,8/26/2016
603008,喜临门,7/17/2012
603009,北特科技,7/18/2014
603010,万盛股份,10/10/2014
603011,合锻智能,11/7/2014
603012,创力集团,3/20/2015
603015,弘讯科技,3/3/2015
603016,新宏泰,7/1/2016
603017,中衡设计,12/31/2014
603018,中设集团,10/13/2014
603019,中科曙光,11/6/2014
603020,爱普股份,3/25/2015
603021,山东华鹏,4/23/2015
603022,新通联,5/18/2015
603023,威帝股份,5/27/2015
603025,大豪科技,4/22/2015
603026,石大胜华,5/29/2015
603027,千禾味业,3/7/2016
603028,赛福天,3/31/2016
603029,天鹅股份,4/27/2016
603030,全筑股份,3/20/2015
603031,安德利,8/22/2016
603032,德新交运,1/5/2017
603033,三维股份,12/7/2016
603035,常熟汽饰,1/5/2017
603036,如通股份,12/9/2016
603038,华立股份,1/16/2017
603039,泛微网络,1/13/2017
603058,永吉股份,12/23/2016
603060,国检集团,11/9/2016
603066,音飞储存,6/11/2015
603067,振华股份,9/13/2016
603069,海汽集团,7/12/2016
603077,和邦生物,7/31/2012
603085,天成自控,6/30/2015
603088,宁波精达,11/11/2014
603090,宏盛股份,8/31/2016
603098,森特股份,12/16/2016
603099,长白山,8/22/2014
603100,川仪股份,8/5/2014
603101,汇嘉时代,5/6/2016
603108,润达医疗,5/27/2015
603111,康尼机电,8/1/2014
603116,红蜻蜓,6/29/2015
603117,万林股份,6/29/2015
603118,共进股份,2/25/2015
603123,翠微股份,5/3/2012
603126,中材节能,7/31/2014
603128,华贸物流,5/29/2012
603131,上海沪工,6/7/2016
603158,腾龙股份,3/20/2015
603159,上海亚虹,8/12/2016
603160,汇顶科技,10/17/2016
603166,福达股份,11/27/2014
603167,渤海轮渡,9/6/2012
603168,莎普爱思,7/2/2014
603169,兰石重装,10/9/2014
603186,华正新材,1/3/2017
603188,亚邦股份,9/9/2014
603189,网达软件,9/14/2016
603198,迎驾贡酒,5/28/2015
603199,九华旅游,3/26/2015
603203,快克股份,11/8/2016
603218,日月股份,12/28/2016
603222,济民制药,2/17/2015
603223,恒通股份,6/30/2015
603227,雪峰科技,5/15/2015
603228,景旺电子,1/6/2017
603239,浙江仙通,12/30/2016
603258,电魂网络,10/26/2016
603266,天龙股份,1/10/2017
603268,松发股份,3/19/2015
603288,海天味业,2/11/2014
603298,杭叉集团,12/27/2016
603299,井神股份,12/31/2015
603300,华铁科技,5/29/2015
603306,华懋科技,9/26/2014
603308,应流股份,1/22/2014
603309,维力医疗,3/2/2015
603311,金海环境,5/18/2015
603313,梦百合,10/13/2016
603315,福鞍股份,4/24/2015
603318,派思股份,4/24/2015
603319,湘油泵,11/30/2016
603322,超讯通信,7/28/2016
603323,吴江银行,11/29/2016
603328,依顿电子,7/1/2014
603333,明星电缆,5/7/2012
603336,宏辉果蔬,11/24/2016
603338,浙江鼎力,3/25/2015
603339,四方冷链,5/19/2016
603355,莱克电气,5/13/2015
603366,日出东方,5/21/2012
603368,柳州医药,12/4/2014
603369,今世缘,7/3/2014
603377,东方时尚,2/5/2016
603389,亚振家居,12/15/2016
603393,新天然气,9/12/2016
603398,邦宝益智,12/9/2015
603399,新华龙,8/24/2012
603416,信捷电气,12/21/2016
603421,鼎信通讯,10/11/2016
603444,吉比特,1/4/2017
603456,九洲药业,10/10/2014
603508,思维列控,12/24/2015
603515,欧普照明,8/19/2016
603518,维格娜丝,12/3/2014
603519,立霸股份,3/19/2015
603520,司太立,3/9/2016
603528,多伦科技,5/3/2016
603555,贵人鸟,1/24/2014
603556,海兴电力,11/10/2016
603558,健盛集团,1/27/2015
603559,中通国脉,12/2/2016
603566,普莱柯,5/18/2015
603567,珍宝岛,4/24/2015
603568,伟明环保,5/28/2015
603569,长久物流,8/10/2016
603577,汇金通,12/22/2016
603579,荣泰健康,1/11/2017
603585,苏利股份,12/14/2016
603588,高能环境,12/29/2014
603589,口子窖,6/29/2015
603598,引力传媒,5/27/2015
603599,广信股份,5/13/2015
603600,永艺股份,1/23/2015
603601,再升科技,1/22/2015
603606,东方电缆,10/15/2014
603608,天创时尚,2/18/2016
603609,禾丰牧业,8/8/2014
603611,诺力股份,1/28/2015
603616,韩建河山,6/11/2015
603618,杭电股份,2/17/2015
603628,清源股份,1/12/2017
603633,?木股份,11/17/2016
603636,南威软件,12/30/2014
603639,海利尔,1/12/2017
603658,安图生物,9/1/2016
603660,苏州科达,12/1/2016
603663,三祥新材,8/1/2016
603667,五洲新春,10/25/2016
603669,灵康药业,5/28/2015
603678,火炬电子,1/26/2015
603686,龙马环卫,1/26/2015
603688,石英股份,10/31/2014
603689,皖天然气,1/10/2017
603690,至纯科技,1/13/2017
603696,安记食品,12/9/2015
603698,航天工程,1/28/2015
603699,纽威股份,1/17/2014
603701,德宏股份,4/12/2016
603703,盛洋科技,4/23/2015
603708,家家悦,12/13/2016
603716,塞力斯,10/31/2016
603718,海利生物,5/15/2015
603726,朗迪集团,4/21/2016
603727,博迈科,11/22/2016
603729,龙韵股份,3/24/2015
603737,三棵树,6/3/2016
603738,泰晶科技,9/28/2016
603766,隆鑫通用,8/10/2012
603777,来伊份,10/12/2016
603778,乾景园林,12/31/2015
603779,威龙股份,5/16/2016
603788,宁波高发,1/20/2015
603789,星光农机,4/27/2015
603798,康普顿,4/6/2016
603799,华友钴业,1/29/2015
603800,道森股份,12/10/2015
603806,福斯特,9/5/2014
603808,歌力思,4/22/2015
603816,顾家家居,10/14/2016
603818,曲美家居,4/22/2015
603819,神力股份,11/25/2016
603822,嘉澳环保,4/28/2016
603823,百合花,12/20/2016
603828,柯利达,2/26/2015
603838,四通股份,7/1/2015
603843,正平股份,9/5/2016
603858,步长制药,11/18/2016
603859,能科股份,10/21/2016
603861,白云电器,3/22/2016
603866,桃李面包,12/22/2015
603868,飞科电器,4/18/2016
603869,北部湾旅,3/26/2015
603877,太平鸟,1/9/2017
603878,武进不锈,12/19/2016
603883,老百姓,4/23/2015
603885,吉祥航空,5/27/2015
603886,元祖股份,12/28/2016
603887,城地股份,10/10/2016
603888,新华网,10/28/2016
603889,新澳股份,12/31/2014
603898,好莱客,2/17/2015
603899,晨光文具,1/27/2015
603900,通灵珠宝,11/23/2016
603901,永创智能,5/29/2015
603909,合诚股份,6/28/2016
603918,金桥信息,5/28/2015
603919,金徽酒,3/10/2016
603928,兴业股份,12/12/2016
603929,亚翔集成,12/30/2016
603936,博敏电子,12/9/2015
603939,益丰药房,2/17/2015
603958,哈森股份,6/29/2016
603959,百利科技,5/17/2016
603968,醋化股份,5/18/2015
603969,银龙股份,2/27/2015
603977,国泰集团,11/11/2016
603979,金诚信,6/30/2015
603986,兆易创新,8/18/2016
603987,康德莱,11/21/2016
603988,中电电机,11/4/2014
603989,艾华集团,5/15/2015
603990,麦迪科技,12/8/2016
603993,洛阳钼业,10/9/2012
603996,中新科技,12/22/2015
603997,继峰股份,3/2/2015
603998,方盛制药,12/5/2014
603999,读者传媒,12/10/2015
603127,昭衍新药,2017-08-25
603181,皇马科技,2017-08-24
603079,圣达生物,2017-08-23
603976,正川股份,2017-08-22
601949,中国出版,2017-08-21
603500,祥和实业,2017-09-04
603359,东珠景观,2017-09-01
603183,建研院,2017-09-05
603725,天安新材,2017-09-06
603386,广东骏亚,2017-09-12
603277,银都股份,2017-09-11
603882,金域医学,2017-09-08
603527,众源新材,2017-09-07
603648,畅联股份,2017-09-13
603055,台华新材,2017-09-21
603533,掌阅科技,2017-09-21
603106,恒银金融,2017-09-20
603813,原尚物流,2017-09-18
603321,梅轮电梯,2017-09-15
603963,大理药业,2017-09-22
603157,拉夏贝尔,2017-09-25
603363,傲农生物,2017-09-26
603136,天目湖,2017-09-27
