A股代码,A股简称,A股上市日期
600238,海南椰岛,1/20/2000
600239,云南城投,12/2/1999
600240,华业资本,6/28/2000
600241,时代万恒,11/28/2000
600242,中昌数据,12/7/2000
600243,青海华鼎,11/20/2000
600246,万通地产,9/22/2000
600247,ST成城,11/23/2000
600248,延长化建,6/22/2000
600249,两面针,1/30/2004
600250,南纺股份,3/6/2001
600251,冠农股份,6/9/2003
600252,中恒集团,11/30/2000
600255,鑫科材料,11/22/2000
600256,广汇能源,5/26/2000
600257,大湖股份,6/12/2000
600258,首旅酒店,6/1/2000
600259,广晟有色,5/25/2000
600260,凯乐科技,7/6/2000
600261,阳光照明,7/20/2000
600262,北方股份,6/30/2000
600265,*ST景谷,8/25/2000
600266,北京城建,2/3/1999
600267,海正药业,7/25/2000
600268,国电南自,11/18/1999
600269,赣粤高速,5/18/2000
600270,外运发展,12/28/2000
600271,航天信息,7/11/2003
600272,开开实业,1/8/1997
600273,嘉化能源,6/27/2003
600275,武昌鱼,8/10/2000
600276,恒瑞医药,10/18/2000
600277,亿利洁能,7/25/2000
600278,东方创业,7/12/2000
600279,重庆港九,7/31/2000
600280,中央商场,9/26/2000
600281,太化股份,11/9/2000
600282,南钢股份,9/19/2000
600283,钱江水利,10/18/2000
600284,浦东建设,3/16/2004
600285,羚锐制药,10/18/2000
600287,江苏舜天,9/1/2000
600288,大恒科技,11/29/2000
600289,亿阳信通,7/20/2000
600290,华仪电气,11/6/2000
600291,西水股份,7/31/2000
600292,远达环保,11/1/2000
600293,三峡新材,9/19/2000
600295,鄂尔多斯,10/20/1995
600297,广汇汽车,11/16/2000
600298,安琪酵母,8/18/2000
600299,安迪苏,4/20/2000
600300,维维股份,6/30/2000
600301,*ST南化,7/12/2000
600302,标准股份,12/13/2000
600303,曙光股份,12/26/2000
600305,恒顺醋业,2/6/2001
600306,*ST商城,12/26/2000
600307,酒钢宏兴,12/20/2000
600308,华泰股份,9/28/2000
600309,万华化学,1/5/2000
600310,桂东电力,2/28/2001
600311,荣华实业,6/26/2001
600312,平高电气,2/21/2001
600313,农发种业,1/19/2001
600315,上海家化,3/15/2001
600316,洪都航空,12/15/2000
600317,营口港,1/31/2002
600318,新力金融,12/8/2000
600319,*ST亚星,3/26/2001
600320,振华重工,12/21/2000
600321,国栋建设,5/24/2001
600322,天房发展,9/10/2001
600323,瀚蓝环境,12/25/2000
600325,华发股份,2/25/2004
600326,西藏天路,1/16/2001
600327,大东方,6/25/2002
600328,兰太实业,12/22/2000
600329,中新药业,6/6/2001
600330,天通股份,1/18/2001
600331,宏达股份,12/20/2001
600332,白云山,2/6/2001
600333,长春燃气,12/11/2000
600335,国机汽车,3/5/2001
600336,澳柯玛,12/29/2000
600337,美克家居,11/27/2000
600338,西藏珠峰,12/27/2000
600339,*ST天利,12/25/2000
600340,华夏幸福,12/30/2003
600343,航天动力,4/8/2003
600345,长江通信,12/22/2000
600346,恒力股份,8/20/2001
600348,阳泉煤业,8/21/2003
600350,山东高速,3/18/2002
600351,亚宝药业,9/26/2002
600352,浙江龙盛,8/1/2003
600353,旭光股份,11/20/2002
600354,敦煌种业,1/15/2004
600355,精伦电子,6/13/2002
600356,恒丰纸业,4/19/2001
600358,国旅联合,9/22/2000
600359,新农开发,4/29/1999
600360,华微电子,3/16/2001
600361,华联综超,11/29/2001
600362,江西铜业,1/11/2002
600363,联创光电,3/29/2001
600365,通葡股份,1/15/2001
600366,宁波韵升,10/30/2000
600367,红星发展,3/20/2001
600368,五洲交通,12/21/2000
600369,西南证券,1/9/2001
600370,三房巷,3/6/2003
600371,万向德农,9/16/2002
600372,中航电子,7/6/2001
600373,中文传媒,3/4/2002
600375,*ST星马,4/1/2003
600376,首开股份,3/12/2001
600377,宁沪高速,1/16/2001
600378,天科股份,1/11/2001
600379,宝光股份,1/16/2002
600380,健康元,6/8/2001
600381,青海春天,5/8/2001
600382,广东明珠,1/18/2001
600383,金地集团,4/12/2001
600385,山东金泰,7/23/2001
600386,北巴传媒,2/16/2001
600387,海越股份,2/18/2004
600388,龙净环保,12/29/2000
600389,江山股份,1/10/2001
600390,*ST金瑞,1/15/2001
600391,成发科技,12/12/2001
600392,盛和资源,5/29/2003
600393,粤泰股份,3/19/2001
600395,盘江股份,5/31/2001
600396,金山股份,3/28/2001
600397,安源煤业,7/2/2002
600398,海澜之家,12/28/2000
600399,抚顺特钢,12/29/2000
600400,红豆股份,1/8/2001
600401,海润光伏,9/24/2003
600403,大有能源,10/9/2003
600405,动力源,4/1/2004
600406,国电南瑞,10/16/2003
600408,安泰集团,2/12/2003
600409,三友化工,6/18/2003
600410,华胜天成,4/27/2004
600415,小商品城,5/9/2002
600416,湘电股份,7/18/2002
600418,江淮汽车,8/24/2001
600419,天润乳业,6/28/2001
600420,现代制药,6/16/2004
600421,仰帆控股,6/7/2004
600422,昆药集团,12/6/2000
600423,柳化股份,7/17/2003
600425,青松建化,7/24/2003
600426,华鲁恒升,6/20/2002
600428,中远海特,4/18/2002
600429,三元股份,9/15/2003
600432,*ST吉恩,9/5/2003
600433,冠豪高新,6/19/2003
600435,北方导航,7/4/2003
600436,片仔癀,6/16/2003
600438,通威股份,3/2/2004
600439,瑞贝卡,7/10/2003
600444,国机通用,2/19/2004
600446,金证股份,12/24/2003
600448,华纺股份,9/3/2001
600449,宁夏建材,8/29/2003
600452,涪陵电力,3/3/2004
600455,博通股份,3/29/2004
600456,宝钛股份,4/12/2002
600458,时代新材,12/19/2002
600459,贵研铂业,5/16/2003
600460,士兰微,3/11/2003
600461,洪城水业,6/1/2004
600462,九有股份,9/3/2003
600463,空港股份,3/18/2004
600466,蓝光发展,2/12/2001
600467,好当家,4/5/2004
600468,百利电气,6/15/2001
600469,风神股份,10/21/2003
600470,六国化工,3/5/2004
600475,华光股份,7/21/2003
600476,湘邮科技,12/10/2003
600477,杭萧钢构,11/10/2003
600478,科力远,9/18/2003
600479,千金药业,3/12/2004
600480,凌云股份,8/15/2003
600481,双良节能,4/22/2003
600482,中国动力,7/14/2004
600483,福能股份,5/31/2004
600485,信威集团,8/7/2003
600486,扬农化工,4/25/2002
600487,亨通光电,8/22/2003
600488,天药股份,6/18/2001
600489,中金黄金,8/14/2003
600490,鹏欣资源,6/26/2003
600491,龙元建设,5/24/2004
600493,凤竹纺织,4/21/2004
600495,晋西车轴,5/26/2004
600496,精工钢构,6/5/2002
600497,驰宏锌锗,4/20/2004
600498,烽火通信,8/23/2001
600499,科达洁能,10/10/2002
600500,中化国际,3/1/2000
600501,航天晨光,6/15/2001
600502,安徽水利,4/15/2003
600503,华丽家族,7/9/2002
600505,西昌电力,5/30/2002
600506,香梨股份,12/26/2001
600507,方大特钢,9/30/2003
600508,上海能源,8/29/2001
600509,天富能源,2/28/2002
600510,黑牡丹,6/18/2002
600511,国药股份,11/27/2002
600512,腾达建设,12/26/2002
600513,联环药业,3/19/2003
600515,海航基础,8/6/2002
