A股代码,A股简称,A股上市日期
000586,汇源通信,1995-12-20
000587,金洲慈航,1996-04-25
000589,黔轮胎Ａ,1996-03-08
000590,启迪古汉,1996-01-19
000591,太阳能,1996-02-08
000592,平潭发展,1996-03-27
000593,大通燃气,1996-03-12
000595,*ST宝实,1996-04-19
000596,古井贡酒,1996-09-27
000597,东北制药,1996-05-23
000598,兴蓉环境,1996-05-29
000599,青岛双星,1996-04-30
000600,建投能源,1996-06-06
000601,韶能股份,1996-08-30
000603,盛达矿业,1996-08-23
000605,渤海股份,1996-09-13
000606,神州易桥,1996-10-04
000607,华媒控股,1996-08-30
000608,阳光股份,1996-09-19
000609,绵石投资,1996-10-10
000610,西安旅游,1996-09-26
000611,天首发展,1996-10-08
000612,焦作万方,1996-09-26
000613,*ST东海A,1997-01-28
000615,京汉股份,1996-10-16
000616,海航投资,1996-11-08
000617,中油资本,1996-10-22
000619,海螺型材,1996-10-23
000620,新华联,1996-10-29
000622,恒立实业,1996-11-07
000623,吉林敖东,1996-10-28
000625,长安汽车,1997-06-10
000626,远大控股,1996-11-28
000627,天茂集团,1996-11-12
000628,高新发展,1996-11-18
000629,*ST钒钛,1996-11-15
000630,铜陵有色,1996-11-20
000631,顺发恒业,1996-11-22
000632,三木集团,1996-11-21
000633,合金投资,1996-11-12
000635,英 力 特,1996-11-20
000636,风华高科,1996-11-29
000637,茂化实华,1996-11-14
000638,万方发展,1996-11-26
000639,西王食品,1996-11-26
000650,仁和药业,1996-12-10
000651,格力电器,1996-11-18
000652,泰达股份,1996-11-28
000655,金岭矿业,1996-11-28
000656,金科股份,1996-11-28
000657,中钨高新,1996-12-05
000659,*ST中富,1996-12-03
000661,长春高新,1996-12-18
000662,天夏智慧,1996-12-16
000663,永安林业,1996-12-06
000665,湖北广电,1996-12-10
000666,经纬纺机,1996-12-10
000667,美好置业,1996-12-05
000668,荣丰控股,1996-12-10
000669,金鸿能源,1996-12-10
000670,盈方微,1996-12-17
000671,阳 光 城,1996-12-18
